119466 root      20   0 1684552 100496  19632 S 260.0  0.0  45:55.92 java
119466 root      20   0 1684552 100508  19632 S 394.1  0.0  45:59.90 java
119466 root      20   0 1684552 100508  19632 S 393.0  0.0  46:03.83 java
119466 root      20   0 1684552 100508  19632 S 393.0  0.0  46:07.76 java
119466 root      20   0 1684552 100508  19632 S 392.0  0.0  46:11.68 java
119466 root      20   0 1684552 100508  19632 S 393.0  0.0  46:15.61 java
119466 root      20   0 1684552 100508  19632 S 391.0  0.0  46:19.52 java
119466 root      20   0 1684552 100508  19632 S 393.0  0.0  46:23.45 java
119466 root      20   0 1684552 100508  19632 S 387.1  0.0  46:27.36 java
119466 root      20   0 1684552 100508  19632 S 392.0  0.0  46:31.28 java
119466 root      20   0 1684552 100508  19632 S 392.0  0.0  46:35.20 java
119466 root      20   0 1684552 100508  19632 S 392.0  0.0  46:39.12 java
119466 root      20   0 1684552 100508  19632 S 391.0  0.0  46:43.03 java
119466 root      20   0 1684552 100508  19632 S 391.0  0.0  46:46.94 java
119466 root      20   0 1684552 100508  19632 S 388.1  0.0  46:50.86 java
119466 root      20   0 1684552 100508  19632 S 394.0  0.0  46:54.80 java
119466 root      20   0 1684552 100508  19632 S 392.0  0.0  46:58.72 java
119466 root      20   0 1684552 100508  19632 S 393.0  0.0  47:02.65 java
119466 root      20   0 1684552 100508  19632 S 392.0  0.0  47:06.57 java
119466 root      20   0 1684552 100508  19632 S 394.0  0.0  47:10.51 java
119466 root      20   0 1684552 100508  19632 S 394.0  0.0  47:14.45 java
119466 root      20   0 1684552 100508  19632 S 389.1  0.0  47:18.38 java
119466 root      20   0 1684552 100508  19632 S 393.0  0.0  47:22.31 java
119466 root      20   0 1684552 100508  19632 S 393.0  0.0  47:26.24 java
119466 root      20   0 1684552 100508  19632 S 393.0  0.0  47:30.17 java
119466 root      20   0 1684552 100508  19632 S 394.0  0.0  47:34.11 java
119466 root      20   0 1684552 100508  19632 S 393.0  0.0  47:38.04 java
119466 root      20   0 1684552 100508  19632 S 389.1  0.0  47:41.97 java
119466 root      20   0 1684552 100508  19632 S 392.0  0.0  47:45.89 java
119466 root      20   0 1684552 100508  19632 S 395.0  0.0  47:49.84 java
119466 root      20   0 1684552 100508  19632 S 392.0  0.0  47:53.76 java
119466 root      20   0 1684552 100508  19632 S 394.0  0.0  47:57.70 java
119466 root      20   0 1684552 100508  19632 S 391.0  0.0  48:01.61 java
119466 root      20   0 1684552 100508  19632 S 389.1  0.0  48:05.54 java
119466 root      20   0 1684552 100508  19632 S 392.0  0.0  48:09.46 java
119466 root      20   0 1684552 100508  19632 S 392.0  0.0  48:13.38 java
119466 root      20   0 1684552 100508  19632 S 392.0  0.0  48:17.30 java
119466 root      20   0 1684552 100508  19632 S 391.0  0.0  48:21.21 java
119466 root      20   0 1684552 100508  19632 S 394.0  0.0  48:25.15 java
119466 root      20   0 1684552 100508  19632 S 389.1  0.0  48:29.08 java
119466 root      20   0 1684552 100508  19632 S 393.0  0.0  48:33.01 java
119466 root      20   0 1684552 100508  19632 S 390.0  0.0  48:36.91 java
119466 root      20   0 1684552 100508  19632 S 393.0  0.0  48:40.84 java
119466 root      20   0 1684552 100508  19632 S 392.0  0.0  48:44.76 java
119466 root      20   0 1684552 100508  19632 S 388.0  0.0  48:48.64 java
119466 root      20   0 1684552 100508  19632 S 394.0  0.0  48:52.58 java
119466 root      20   0 1684552 100508  19632 S 388.0  0.0  48:56.46 java
119466 root      20   0 1684552 100508  19632 S 391.1  0.0  49:00.41 java
119466 root      20   0 1684552 100508  19632 S 390.0  0.0  49:04.31 java
119466 root      20   0 1684552 100508  19632 S 398.0  0.0  49:08.29 java
119466 root      20   0 1684552 100508  19632 S 390.0  0.0  49:12.19 java
119466 root      20   0 1684552 100508  19632 S 393.0  0.0  49:16.12 java
119466 root      20   0 1684552 100508  19632 S 387.0  0.0  49:19.99 java
119466 root      20   0 1684552 100508  19632 S 394.0  0.0  49:23.93 java
119466 root      20   0 1684552 100508  19632 S 390.0  0.0  49:27.83 java
119466 root      20   0 16
