121594 root      20   0 1712052 134832  19688 S 220.0  0.1   8:53.81 java
121594 root      20   0 1712052 134968  19688 S 266.0  0.1   8:56.47 java
121594 root      20   0 1712052 134968  19688 S 254.5  0.1   8:59.04 java
121594 root      20   0 1711024 134880  19688 S 261.0  0.1   9:01.65 java
121594 root      20   0 1711024 134880  19688 S 263.0  0.1   9:04.28 java
121594 root      20   0 1711024 134880  19688 S 262.0  0.1   9:06.90 java
121594 root      20   0 1711024 134880  19688 S 262.0  0.1   9:09.52 java
121594 root      20   0 1711024 134880  19688 S 264.0  0.1   9:12.16 java
121594 root      20   0 1711024 134880  19688 S 260.4  0.1   9:14.79 java
121594 root      20   0 1707940 134608  19688 S 264.0  0.1   9:17.43 java
121594 root      20   0 1707940 134608  19688 S 264.0  0.1   9:20.07 java
121594 root      20   0 1707940 134608  19688 S 261.0  0.1   9:22.68 java
121594 root      20   0 1707940 134608  19688 S 262.0  0.1   9:25.30 java
121594 root      20   0 1707940 134608  19688 S 266.0  0.1   9:27.96 java
121594 root      20   0 1707940 134608  19688 S 259.4  0.1   9:30.58 java
121594 root      20   0 1707940 134608  19688 S 262.0  0.1   9:33.20 java
121594 root      20   0 1707940 134608  19688 S 263.0  0.1   9:35.83 java
121594 root      20   0 1707940 134608  19688 S 266.0  0.1   9:38.49 java
121594 root      20   0 1707940 134608  19688 S 264.0  0.1   9:41.13 java
121594 root      20   0 1707940 134608  19688 S 264.0  0.1   9:43.77 java
121594 root      20   0 1707940 134608  19688 S 265.0  0.1   9:46.42 java
121594 root      20   0 1707940 134608  19688 S 266.0  0.1   9:49.08 java
121594 root      20   0 1707940 134608  19688 S 261.4  0.1   9:51.72 java
121594 root      20   0 1707940 134608  19688 S 264.0  0.1   9:54.36 java
121594 root      20   0 1707940 134608  19688 S 263.0  0.1   9:56.99 java
121594 root      20   0 1707940 134608  19688 S 264.0  0.1   9:59.63 java
121594 root      20   0 1707940 134608  19688 S 262.0  0.1  10:02.25 java
121594 root      20   0 1707940 134608  19688 S 263.0  0.1  10:04.88 java
121594 root      20   0 1707940 134608  19688 S 259.4  0.1  10:07.50 java
121594 root      20   0 1707940 134608  19688 S 266.0  0.1  10:10.16 java
121594 root      20   0 1707940 134608  19688 S 266.0  0.1  10:12.82 java
121594 root      20   0 1707940 134608  19688 S 264.0  0.1  10:15.46 java
121594 root      20   0 1707940 134608  19688 S 262.0  0.1  10:18.08 java
121594 root      20   0 1707940 134608  19688 S 263.0  0.1  10:20.71 java
121594 root      20   0 1707940 134608  19688 S 262.0  0.1  10:23.33 java
121594 root      20   0 1707940 134608  19688 S 261.4  0.1  10:25.97 java
121594 root      20   0 1707940 134608  19688 S 264.0  0.1  10:28.61 java
121594 root      20   0 1707940 134608  19688 S 260.0  0.1  10:31.21 java
121594 root      20   0 1707940 134608  19688 S 264.0  0.1  10:33.85 java
121594 root      20   0 1707940 134608  19688 S 262.0  0.1  10:36.47 java
121594 root      20   0 1707940 134608  19688 S 263.0  0.1  10:39.10 java
121594 root      20   0 1706912 134520  19688 S 261.0  0.1  10:41.71 java
121594 root      20   0 1706912 134520  19688 S 247.5  0.1  10:44.21 java
121594 root      20   0 1706912 134520  19688 S 255.0  0.1  10:46.76 java
121594 root      20   0 1706912 134520  19688 S 261.0  0.1  10:49.37 java
121594 root      20   0 1706912 134520  19688 S 265.0  0.1  10:52.02 java
121594 root      20   0 1706912 134520  19688 S 260.0  0.1  10:54.62 java
121594 root      20   0 1707940 134608  19688 S 258.0  0.1  10:57.20 java
121594 root      20   0 1708968 134696  19688 S 253.5  0.1  10:59.76 java
121594 root      20   0 1708968 134696  19688 S 259.0  0.1  11:02.35 java
121594 root      20   0 1708968 134696  19688 S 263.0  0.1  11:04.98 java
121594 root      20   0 1708968 134696  19688 S 262.0  0.1  11:07.60 java
121594 root      20   0 1708968 134696  19688 S 266.0  0.1  11:10.26 java
121594 root      20   0 1708968 134696  19688 S 261.0  0.1  11:12.87 java
121594 root      20   0 1708968 134696  19688 S 258.4  0.1  11:15.48 java
121594 root      20   0 17
