121594 root      20   0 1722332 142124  19688 S 313.3  0.1  46:23.29 java
121594 root      20   0 1722332 141660  19688 S 394.0  0.1  46:27.23 java
121594 root      20   0 1720276 141484  19688 S 389.0  0.1  46:31.12 java
121594 root      20   0 1720276 141484  19688 S 391.0  0.1  46:35.03 java
121594 root      20   0 1720276 141484  19688 S 387.1  0.1  46:38.94 java
121594 root      20   0 1720276 141484  19688 S 391.0  0.1  46:42.85 java
121594 root      20   0 1720276 141484  19688 S 389.0  0.1  46:46.74 java
121594 root      20   0 1720276 141484  19688 S 389.0  0.1  46:50.63 java
121594 root      20   0 1718220 141308  19688 S 391.0  0.1  46:54.54 java
121594 root      20   0 1719248 141396  19688 S 391.0  0.1  46:58.45 java
121594 root      20   0 1719248 141396  19688 S 386.1  0.1  47:02.35 java
121594 root      20   0 1719248 141396  19688 S 391.0  0.1  47:06.26 java
121594 root      20   0 1719248 141396  19688 S 393.0  0.1  47:10.19 java
121594 root      20   0 1719248 141396  19688 S 392.0  0.1  47:14.11 java
121594 root      20   0 1719248 141396  19688 S 392.0  0.1  47:18.03 java
121594 root      20   0 1719248 141396  19688 S 389.0  0.1  47:21.92 java
121594 root      20   0 1719248 141396  19688 S 392.0  0.1  47:25.84 java
121594 root      20   0 1719248 141396  19688 S 386.1  0.1  47:29.74 java
121594 root      20   0 1719248 141396  19688 S 392.0  0.1  47:33.66 java
121594 root      20   0 1719248 141396  19688 S 391.0  0.1  47:37.57 java
121594 root      20   0 1719248 141396  19688 S 390.0  0.1  47:41.47 java
121594 root      20   0 1719248 141396  19688 S 392.0  0.1  47:45.39 java
121594 root      20   0 1719248 141396  19688 S 390.0  0.1  47:49.29 java
121594 root      20   0 1719248 141396  19688 S 388.1  0.1  47:53.21 java
121594 root      20   0 1719248 141396  19688 S 391.0  0.1  47:57.12 java
121594 root      20   0 1719248 141396  19688 S 392.0  0.1  48:01.04 java
121594 root      20   0 1719248 141396  19688 S 389.0  0.1  48:04.93 java
121594 root      20   0 1719248 141396  19688 S 390.0  0.1  48:08.83 java
121594 root      20   0 1719248 141396  19688 S 389.0  0.1  48:12.72 java
121594 root      20   0 1719248 141396  19688 S 392.0  0.1  48:16.64 java
121594 root      20   0 1719248 141396  19688 S 387.1  0.1  48:20.55 java
121594 root      20   0 1719248 141396  19688 S 392.0  0.1  48:24.47 java
121594 root      20   0 1719248 141396  19688 S 393.0  0.1  48:28.40 java
121594 root      20   0 1719248 141396  19688 S 393.0  0.1  48:32.33 java
121594 root      20   0 1719248 141396  19688 S 391.0  0.1  48:36.24 java
121594 root      20   0 1719248 141396  19688 S 388.0  0.1  48:40.12 java
121594 root      20   0 1719248 141396  19688 S 388.1  0.1  48:44.04 java
121594 root      20   0 1719248 141396  19688 S 391.0  0.1  48:47.95 java
121594 root      20   0 1719248 141396  19688 S 391.0  0.1  48:51.86 java
121594 root      20   0 1719248 141396  19688 S 392.0  0.1  48:55.78 java
121594 root      20   0 1719248 141396  19688 S 389.0  0.1  48:59.67 java
121594 root      20   0 1719248 141396  19688 S 391.0  0.1  49:03.58 java
121594 root      20   0 1719248 141396  19688 S 390.1  0.1  49:07.52 java
121594 root      20   0 1719248 141396  19688 S 391.0  0.1  49:11.43 java
121594 root      20   0 1715136 141044  19688 S 390.0  0.1  49:15.33 java
121594 root      20   0 1715136 141044  19688 S 391.0  0.1  49:19.24 java
121594 root      20   0 1715136 141044  19688 S 389.0  0.1  49:23.13 java
121594 root      20   0 1715136 141044  19688 S 390.0  0.1  49:27.03 java
121594 root      20   0 1715136 141044  19688 S 387.1  0.1  49:30.94 java
121594 root      20   0 1715136 141044  19688 S 389.0  0.1  49:34.83 java
121594 root      20   0 1715136 141044  19688 S 391.0  0.1  49:38.74 java
121594 root      20   0 1715136 141044  19688 S 389.0  0.1  49:42.63 java
121594 root      20   0 1715136 141044  19688 S 390.0  0.1  49:46.53 java
121594 root      20   0 1715136 141044  19688 S 390.0  0.1  49:50.43 java
121594 root      20   0 1715136 141044  19688 S 386.1  0.1  49:54.33 java
121594 root      20   0 17
