119466 root      20   0 1684552 100492  19632 S 260.0  0.0  42:01.23 java
119466 root      20   0 1684552 100496  19632 S 395.0  0.0  42:05.18 java
119466 root      20   0 1684552 100496  19632 S 395.0  0.0  42:09.13 java
119466 root      20   0 1684552 100496  19632 S 395.0  0.0  42:13.08 java
119466 root      20   0 1684552 100496  19632 S 394.0  0.0  42:17.02 java
119466 root      20   0 1684552 100496  19632 S 385.1  0.0  42:20.91 java
119466 root      20   0 1684552 100496  19632 S 391.0  0.0  42:24.82 java
119466 root      20   0 1684552 100496  19632 S 393.0  0.0  42:28.75 java
119466 root      20   0 1684552 100496  19632 S 391.0  0.0  42:32.66 java
119466 root      20   0 1684552 100496  19632 S 391.0  0.0  42:36.57 java
119466 root      20   0 1684552 100496  19632 S 393.0  0.0  42:40.50 java
119466 root      20   0 1684552 100496  19632 S 395.0  0.0  42:44.45 java
119466 root      20   0 1684552 100496  19632 S 386.1  0.0  42:48.35 java
119466 root      20   0 1684552 100496  19632 S 393.0  0.0  42:52.28 java
119466 root      20   0 1684552 100496  19632 S 391.0  0.0  42:56.19 java
119466 root      20   0 1684552 100496  19632 S 390.0  0.0  43:00.09 java
119466 root      20   0 1684552 100496  19632 S 392.0  0.0  43:04.01 java
119466 root      20   0 1684552 100496  19632 S 391.0  0.0  43:07.92 java
119466 root      20   0 1684552 100496  19632 S 387.1  0.0  43:11.83 java
119466 root      20   0 1684552 100496  19632 S 391.0  0.0  43:15.74 java
119466 root      20   0 1684552 100496  19632 S 392.0  0.0  43:19.66 java
119466 root      20   0 1684552 100496  19632 S 392.0  0.0  43:23.58 java
119466 root      20   0 1684552 100496  19632 S 392.0  0.0  43:27.50 java
119466 root      20   0 1684552 100496  19632 S 392.0  0.0  43:31.42 java
119466 root      20   0 1684552 100496  19632 S 387.1  0.0  43:35.33 java
119466 root      20   0 1684552 100496  19632 S 392.0  0.0  43:39.25 java
119466 root      20   0 1684552 100496  19632 S 390.0  0.0  43:43.15 java
119466 root      20   0 1684552 100496  19632 S 391.0  0.0  43:47.06 java
119466 root      20   0 1684552 100496  19632 S 392.0  0.0  43:50.98 java
119466 root      20   0 1684552 100496  19632 S 391.0  0.0  43:54.89 java
119466 root      20   0 1684552 100496  19632 S 391.0  0.0  43:58.80 java
119466 root      20   0 1684552 100496  19632 S 389.1  0.0  44:02.73 java
119466 root      20   0 1684552 100496  19632 S 393.0  0.0  44:06.66 java
119466 root      20   0 1684552 100496  19632 S 393.0  0.0  44:10.59 java
119466 root      20   0 1684552 100496  19632 S 393.0  0.0  44:14.52 java
119466 root      20   0 1684552 100496  19632 S 392.0  0.0  44:18.44 java
119466 root      20   0 1684552 100496  19632 S 393.0  0.0  44:22.37 java
119466 root      20   0 1684552 100496  19632 S 393.0  0.0  44:26.30 java
119466 root      20   0 1684552 100496  19632 S 393.0  0.0  44:30.23 java
119466 root      20   0 1684552 100496  19632 S 390.1  0.0  44:34.17 java
119466 root      20   0 1684552 100496  19632 S 392.0  0.0  44:38.09 java
119466 root      20   0 1684552 100496  19632 S 393.0  0.0  44:42.02 java
119466 root      20   0 1684552 100496  19632 S 392.0  0.0  44:45.94 java
119466 root      20   0 1684552 100496  19632 S 391.0  0.0  44:49.85 java
119466 root      20   0 1684552 100496  19632 S 392.0  0.0  44:53.77 java
119466 root      20   0 1684552 100496  19632 S 394.0  0.0  44:57.71 java
119466 root      20   0 1684552 100496  19632 S 388.1  0.0  45:01.63 java
119466 root      20   0 1684552 100496  19632 S 392.0  0.0  45:05.55 java
119466 root      20   0 1684552 100496  19632 S 394.0  0.0  45:09.49 java
119466 root      20   0 1684552 100496  19632 S 390.0  0.0  45:13.39 java
119466 root      20   0 1684552 100496  19632 S 390.0  0.0  45:17.29 java
119466 root      20   0 1684552 100496  19632 S 392.0  0.0  45:21.21 java
119466 root      20   0 1684552 100496  19632 S 394.0  0.0  45:25.15 java
119466 root      20   0 1684552 100496  19632 S 386.1  0.0  45:29.05 java
119466 root      20   0 1684552 100496  19632 S 392.0  0.0  45:32.97 java
119466 root      20   0 16
