121594 root      20   0 1715136 140492  19688 S 273.3  0.1  30:46.20 java
121594 root      20   0 1716164 140952  19688 S 396.0  0.1  30:50.16 java
121594 root      20   0 1716164 140952  19688 S 395.0  0.1  30:54.11 java
121594 root      20   0 1716164 140952  19688 S 383.2  0.1  30:57.98 java
121594 root      20   0 1716164 140952  19688 S 396.0  0.1  31:01.94 java
121594 root      20   0 1716164 140952  19688 S 391.0  0.1  31:05.85 java
121594 root      20   0 1716164 140952  19688 S 392.0  0.1  31:09.77 java
121594 root      20   0 1716164 140952  19688 S 391.0  0.1  31:13.68 java
121594 root      20   0 1716164 140952  19688 S 390.0  0.1  31:17.58 java
121594 root      20   0 1716164 140952  19688 S 386.1  0.1  31:21.48 java
121594 root      20   0 1716164 140952  19688 S 392.0  0.1  31:25.40 java
121594 root      20   0 1716164 140952  19688 S 392.0  0.1  31:29.32 java
121594 root      20   0 1716164 140952  19688 S 386.0  0.1  31:33.18 java
121594 root      20   0 1716164 140952  19688 S 393.0  0.1  31:37.11 java
121594 root      20   0 1716164 140952  19688 S 390.0  0.1  31:41.01 java
121594 root      20   0 1716164 140952  19688 S 388.1  0.1  31:44.93 java
121594 root      20   0 1716164 140952  19688 S 391.0  0.1  31:48.84 java
121594 root      20   0 1716164 140952  19688 S 394.0  0.1  31:52.78 java
121594 root      20   0 1716164 140952  19688 S 393.0  0.1  31:56.71 java
121594 root      20   0 1716164 140952  19688 S 392.0  0.1  32:00.63 java
121594 root      20   0 1716164 140952  19688 S 395.0  0.1  32:04.58 java
121594 root      20   0 1716164 140952  19688 S 388.1  0.1  32:08.50 java
121594 root      20   0 1716164 140952  19688 S 391.0  0.1  32:12.41 java
121594 root      20   0 1716164 140952  19688 S 392.0  0.1  32:16.33 java
121594 root      20   0 1716164 140952  19688 S 394.0  0.1  32:20.27 java
121594 root      20   0 1716164 140952  19688 S 393.0  0.1  32:24.20 java
121594 root      20   0 1716164 140952  19688 S 393.0  0.1  32:28.13 java
121594 root      20   0 1716164 140952  19688 S 395.0  0.1  32:32.08 java
121594 root      20   0 1716164 140952  19688 S 391.1  0.1  32:36.03 java
121594 root      20   0 1716164 140952  19688 S 390.0  0.1  32:39.93 java
121594 root      20   0 1716164 140952  19688 S 392.0  0.1  32:43.85 java
121594 root      20   0 1716164 140952  19688 S 391.0  0.1  32:47.76 java
121594 root      20   0 1716164 140952  19688 S 392.0  0.1  32:51.68 java
121594 root      20   0 1716164 140952  19688 S 394.0  0.1  32:55.62 java
121594 root      20   0 1716164 140952  19688 S 388.1  0.1  32:59.54 java
121594 root      20   0 1716164 140952  19688 S 389.0  0.1  33:03.43 java
121594 root      20   0 1716164 140952  19688 S 386.0  0.1  33:07.29 java
121594 root      20   0 1716164 140952  19688 S 399.0  0.1  33:11.28 java
121594 root      20   0 1716164 140952  19688 S 391.0  0.1  33:15.19 java
121594 root      20   0 1716164 140952  19688 S 395.0  0.1  33:19.14 java
121594 root      20   0 1716164 140952  19688 S 381.2  0.1  33:22.99 java
121594 root      20   0 1716164 140952  19688 S 402.0  0.1  33:27.01 java
121594 root      20   0 1716164 140952  19688 S 394.0  0.1  33:30.95 java
121594 root      20   0 1716164 140952  19688 S 390.0  0.1  33:34.85 java
121594 root      20   0 1716164 140952  19688 S 395.0  0.1  33:38.80 java
121594 root      20   0 1716164 140952  19688 S 392.0  0.1  33:42.72 java
121594 root      20   0 1715136 140864  19688 S 391.0  0.1  33:46.63 java
121594 root      20   0 1715136 140864  19688 S 395.0  0.1  33:50.62 java
121594 root      20   0 1715136 140864  19688 S 391.0  0.1  33:54.53 java
121594 root      20   0 1715136 140864  19688 S 390.0  0.1  33:58.43 java
121594 root      20   0 1715136 140864  19688 S 395.0  0.1  34:02.38 java
121594 root      20   0 1715136 140864  19688 S 380.0  0.1  34:06.18 java
121594 root      20   0 1715136 140864  19688 S 395.0  0.1  34:10.13 java
121594 root      20   0 1715136 140864  19688 S 392.0  0.1  34:14.05 java
121594 root      20   0 1715136 140868  19688 S 396.0  0.1  34:18.05 java
121594 root      20   0 17
