121594 root      20   0 1716164 140956  19688 S 286.7  0.1  34:40.97 java
121594 root      20   0 1717192 141044  19688 S 394.0  0.1  34:44.91 java
121594 root      20   0 1717192 141044  19688 S 391.0  0.1  34:48.82 java
121594 root      20   0 1717192 141044  19688 S 390.0  0.1  34:52.72 java
121594 root      20   0 1718220 141132  19688 S 392.0  0.1  34:56.64 java
121594 root      20   0 1718220 141132  19688 S 388.1  0.1  35:00.56 java
121594 root      20   0 1718220 142164  19688 S 392.0  0.1  35:04.48 java
121594 root      20   0 1718220 142064  19688 S 388.0  0.1  35:08.36 java
121594 root      20   0 1718220 142064  19688 S 393.0  0.1  35:12.29 java
121594 root      20   0 1718220 142068  19688 S 389.0  0.1  35:16.18 java
121594 root      20   0 1718220 142068  19688 S 392.0  0.1  35:20.10 java
121594 root      20   0 1718220 141812  19688 S 389.0  0.1  35:23.99 java
121594 root      20   0 1718220 141812  19688 S 388.1  0.1  35:27.91 java
121594 root      20   0 1718220 141812  19688 S 391.0  0.1  35:31.82 java
121594 root      20   0 1718220 141816  19688 S 390.0  0.1  35:35.72 java
121594 root      20   0 1718220 141816  19688 S 391.0  0.1  35:39.63 java
121594 root      20   0 1718220 141816  19688 S 392.0  0.1  35:43.55 java
121594 root      20   0 1719248 141904  19688 S 393.0  0.1  35:47.48 java
121594 root      20   0 1719248 141904  19688 S 389.1  0.1  35:51.41 java
121594 root      20   0 1719248 141904  19688 S 390.0  0.1  35:55.31 java
121594 root      20   0 1719248 141904  19688 S 391.0  0.1  35:59.22 java
121594 root      20   0 1719248 141904  19688 S 394.0  0.1  36:03.16 java
121594 root      20   0 1719248 141904  19688 S 390.0  0.1  36:07.06 java
121594 root      20   0 1719248 141904  19688 S 392.0  0.1  36:10.98 java
121594 root      20   0 1719248 141904  19688 S 387.1  0.1  36:14.89 java
121594 root      20   0 1719248 141904  19688 S 390.0  0.1  36:18.79 java
121594 root      20   0 1719248 141904  19688 S 394.0  0.1  36:22.73 java
121594 root      20   0 1719248 141904  19688 S 393.0  0.1  36:26.66 java
121594 root      20   0 1719248 141904  19688 S 393.0  0.1  36:30.59 java
121594 root      20   0 1719248 141904  19688 S 390.0  0.1  36:34.49 java
121594 root      20   0 1719248 141904  19688 S 388.1  0.1  36:38.41 java
121594 root      20   0 1719248 141904  19688 S 389.0  0.1  36:42.30 java
121594 root      20   0 1719248 141904  19688 S 386.0  0.1  36:46.16 java
121594 root      20   0 1719248 141904  19688 S 397.0  0.1  36:50.13 java
121594 root      20   0 1719248 141904  19688 S 395.0  0.1  36:54.08 java
121594 root      20   0 1719248 141904  19688 S 392.0  0.1  36:58.00 java
121594 root      20   0 1719248 141736  19688 S 382.2  0.1  37:01.86 java
121594 root      20   0 1719248 141736  19688 S 399.0  0.1  37:05.85 java
121594 root      20   0 1719248 141736  19688 S 391.0  0.1  37:09.76 java
121594 root      20   0 1719248 141736  19688 S 390.0  0.1  37:13.66 java
121594 root      20   0 1719248 141736  19688 S 390.0  0.1  37:17.56 java
121594 root      20   0 1719248 141736  19688 S 391.0  0.1  37:21.47 java
121594 root      20   0 1720276 141824  19688 S 391.0  0.1  37:25.38 java
121594 root      20   0 1720276 141824  19688 S 386.1  0.1  37:29.28 java
121594 root      20   0 1720276 141824  19688 S 392.0  0.1  37:33.20 java
121594 root      20   0 1721304 141912  19688 S 391.0  0.1  37:37.11 java
121594 root      20   0 1721304 141912  19688 S 389.0  0.1  37:41.00 java
121594 root      20   0 1721304 141912  19688 S 390.0  0.1  37:44.90 java
121594 root      20   0 1721304 141912  19688 S 390.0  0.1  37:48.80 java
121594 root      20   0 1721304 141912  19688 S 386.1  0.1  37:52.70 java
121594 root      20   0 1721304 141912  19688 S 389.0  0.1  37:56.59 java
121594 root      20   0 1721304 141912  19688 S 391.0  0.1  38:00.50 java
121594 root      20   0 1721304 141912  19688 S 389.0  0.1  38:04.39 java
121594 root      20   0 1721304 141912  19688 S 392.0  0.1  38:08.31 java
121594 root      20   0 1721304 141912  19688 S 392.0  0.1  38:12.23 java
121594 root      20   0 17
